,Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated,Unnamed: 9,Unnamed: 10
964,Weißalles_ Weißnix,"Und ab morgen stelken wir alles in Frage und schaffen Gesellschaftsformen ab, damit wir NICHTS sind.",2021-02-13T21:51:00Z,32.0,7.0,,,,,,
965,,Dekonstruieren bis zum Kommunismus würde ich mal sagen.,,,,Kefchet,Dekonstruieren bis zum Kommunismus würde ich mal sagen.,2021-02-14T11:47:05Z,2021-02-14T11:47:05Z,,
966,,"Kommunismus ist nichts Schlechtes und nein wir sollten generell nichts hinterfragen und weiterhin Frauen diskriminieren und zwangsverheiraten, beschneiden und versklaven",,,,astrid_sfrt,"Kommunismus ist nichts Schlechtes und nein wir sollten generell nichts hinterfragen und weiterhin Frauen diskriminieren und zwangsverheiraten, beschneiden und versklaven",2021-02-17T19:55:51Z,2021-02-17T19:55:51Z,,
967,,"@astrid_sfrt Kommunismus ist nichts schlechtes? Wie kann man nur etwas sagen, das so respektlos gegenüber den über hundert Millionen von Opfern der kommunistischen Herrschaft weltweit ist. Wirklich, werd erwachsen und befasse dich tiefer und kritischer mit der Ideologie, und wenn du jetzt rumheulen willst von wegen „Mimimi Nazi, Mimimi rechts“ ich habe über sechs Jahre lang linke und Marxistische Theorie studiert und komme nicht ohne Grund zu meinen Schlüssen.",,,,Kefchet,"@astrid_sfrt Kommunismus ist nichts schlechtes? Wie kann man nur etwas sagen, das so respektlos gegenüber den über hundert Millionen von Opfern der kommunistischen Herrschaft weltweit ist. Wirklich, werd erwachsen und befasse dich tiefer und kritischer mit der Ideologie, und wenn du jetzt rumheulen willst von wegen „Mimimi Nazi, Mimimi rechts“ ich habe über sechs Jahre lang linke und Marxistische Theorie studiert und komme nicht ohne Grund zu meinen Schlüssen.",2021-02-17T20:11:31Z,2021-02-17T20:11:31Z,,
968,,"@Kefchet Der Kapitalismus tötet auch jeden Tag Tausende Menschen, ich sag ja nicht dass wir zum Kommunismus zurückkehren sollen, aber den Kommunismus als schlecht und den Kapitalismus als Lösung für alles hin zu stellen, entspricht halt einfach nicht der Realität. Außerdem, was haben Themen wie non binäre Personen mit Wirtschaftsformen zu tun?",,,,astrid_sfrt,"@Kefchet Der Kapitalismus tötet auch jeden Tag Tausende Menschen, ich sag ja nicht dass wir zum Kommunismus zurückkehren sollen, aber den Kommunismus als schlecht und den Kapitalismus als Lösung für alles hin zu stellen, entspricht halt einfach nicht der Realität. Außerdem, was haben Themen wie non binäre Personen mit Wirtschaftsformen zu tun?",2021-02-17T21:49:30Z,2021-02-17T21:49:30Z,,
969,,"@astrid_sfrt Uff da fehlt wohl einiges an Wissen, und ich will es dir nicht vorwerfen oder dich dafür verurteilen, das kommt noch mit der Lebenserfahrung, aber der Kommunismus ist wesentlich mehr als eine Wirtschaftsform, sondern eine Gesellschaftsform. Marx&#39; Ansatz die Gesellschaft zu beschreiben war sogar so wichtig, dass Marx einer der vier Klassiker der Soziologie ist. Und basierend auf Marx kam eben mit der postmodernen Lesart das ewige, mitunter auch blinde Dekonstruieren - vor allem auf Machtbeziehungen reduziert - in die Welt.",,,,Kefchet,"@astrid_sfrt Uff da fehlt wohl einiges an Wissen, und ich will es dir nicht vorwerfen oder dich dafür verurteilen, das kommt noch mit der Lebenserfahrung, aber der Kommunismus ist wesentlich mehr als eine Wirtschaftsform, sondern eine Gesellschaftsform. Marx&#39; Ansatz die Gesellschaft zu beschreiben war sogar so wichtig, dass Marx einer der vier Klassiker der Soziologie ist. Und basierend auf Marx kam eben mit der postmodernen Lesart das ewige, mitunter auch blinde Dekonstruieren - vor allem auf Machtbeziehungen reduziert - in die Welt.",2021-02-17T22:14:41Z,2021-02-17T22:14:41Z,,
970,,"@Kefchet ja dass es eher eine Gesellschaftsform ist stimmt, aber der Neoliberalismus ist auch eine tief in unsere Gesellschaft eingebrannte Ideologie und in meinen Augen Ist beides eine extreme Form, und die Mitte müsste halt noch gefunden werden.",,,,astrid_sfrt,"@Kefchet ja dass es eher eine Gesellschaftsform ist stimmt, aber der Neoliberalismus ist auch eine tief in unsere Gesellschaft eingebrannte Ideologie und in meinen Augen Ist beides eine extreme Form, und die Mitte müsste halt noch gefunden werden.",2021-02-17T23:26:42Z,2021-02-17T23:26:42Z,,
971,,"@astrid_sfrt Es gibt keine akzeptable Mitte zwischen Kommunismus und Kapitalismus, jeder Schritt in Richtung Kommunismus ist ein Schritt in Richtung Tyrannei und Armut, während der Kapitalismus Menschen in unglaublicher Geschwindigkeit aus der Armut heraus befördert, vor allem aus absoluter Armut, die Weltwirtschaft übertrifft regelmäßig die UNO Ziele zur Ausmerzung der Armut, sodass die UN inzwischen davon ausgeht, die Armut bis 2030 auszumerzen. Bitte informiere dich über den Kommunismus, Sozialismus und alle damit verwandten Ideologien, ich kann jeden verstehen, der aus Empathiegründen oberflächliche Sympathien für die Idee des Kommunismus hat, aber es ist im Kern eine Ideologie die nur Schaden bringt.",,,,Kefchet,"@astrid_sfrt Es gibt keine akzeptable Mitte zwischen Kommunismus und Kapitalismus, jeder Schritt in Richtung Kommunismus ist ein Schritt in Richtung Tyrannei und Armut, während der Kapitalismus Menschen in unglaublicher Geschwindigkeit aus der Armut heraus befördert, vor allem aus absoluter Armut, die Weltwirtschaft übertrifft regelmäßig die UNO Ziele zur Ausmerzung der Armut, sodass die UN inzwischen davon ausgeht, die Armut bis 2030 auszumerzen. Bitte informiere dich über den Kommunismus, Sozialismus und alle damit verwandten Ideologien, ich kann jeden verstehen, der aus Empathiegründen oberflächliche Sympathien für die Idee des Kommunismus hat, aber es ist im Kern eine Ideologie die nur Schaden bringt.",2021-02-17T23:38:36Z,2021-02-17T23:38:36Z,,
972,Weißalles_ Weißnix,"Ich spreche ihm die Qualifikation ab, geschlechtslos zu sein.",2021-02-13T21:20:44Z,5.0,0.0,,,,,,
973,KinSU_de,Es gibt halt nicht für alles und jeden eine &quot;Extra-Wurst&quot;. Das wird hier in DE mit diesen QBITUWBXK echt albern langsam.,2021-02-13T20:30:01Z,14.0,0.0,,,,,,
974,Suburp212,Aber wer liest denn den Pass?,2021-02-13T20:00:21Z,0.0,0.0,,,,,,
975,Kathi Soma,"Wem schadet es denn, wenn man da schnell ein X einträgt und den Namen ändert? <br>Ich versteh nicht, was daran schwer ist oder wieso Politik/ Ämter sich da so anstellen. So lange das eine erwachsene Person für sich selbst aus freiem Willen entscheidet, sollte das nicht 1,5 Jahre dauern und immense Kosten verursachen. Frechheit!",2021-02-13T19:36:16Z,1.0,0.0,,,,,,
976,Juno* Marie Göppel,Vielen Dank für dieses tolle Video!!!💛💛💜,2021-02-13T19:29:47Z,1.0,1.0,,,,,,
977,,Sehr gerne.💙,,,,reporter,Sehr gerne.💙,2021-02-14T12:00:58Z,2021-02-14T12:00:58Z,,
978,Dani Dieter,"Das Thema an sich ist sehr interessant, jedoch sehe ich die Sache mit dem Ausweis äußerst kritisch. Im biologischen Sinne gibt es für den Menschen nur zwei Geschlechter, männlich und weiblich, und diese sollten auch im Ausweis hinterlegt sein, da der Ausweis als Identifikation dient. <br>Wenn Marcel-Jana sich als non-binär fühlt ist das völlig ok und dies sollte auch von anderen akzeptiert werden. MJ kann seine Mitmenschen darauf aufmerksam machen, jedoch sollte auch hier darauf geachtet werden, dass viele nicht mal wissen was non-binär überhaupt bedeutet und dies auch nicht sofort schnallen werden. Ich finde das Thema wurde hier leider etwas überdramatisiert.",2021-02-13T19:21:59Z,1.0,0.0,,,,,,
979,Mrs. Green,"Ich versteh es einfach nicht wozu man für sowas ein Gericht brauch das ist reine Verschwendung, ich glaube die deutsche Justiz hat ganze andere sachen zu klären als sowas.  <br><br>Das ist einfach so typisch deutsch für jeden scheiß gibt es Gesetze aber für die wirklich wichtigen sachen nicht oder nur halb herzige 🤦",2021-02-13T19:21:40Z,0.0,0.0,,,,,,
980,Rain Blair,"Danke für den Beitrag! Ich bin jetzt voll geflashed weil ich mir bis jetzt nicht vorstellen konnte, dass das behördlich durchgehen könnte. Jetzt sehe ich endlich auch eine Zukunftsperspektive für mich, meinen Namen, den ich seit 5 Jahren im Alltag durchgängig (auch in der Uni) benutze, endlich auch im Pass stehen haben zu können.<br>Nicht ständig in verwirrende, seltsame, unangenehme Situationen hineinzugeraten (für mich und andere). Das würde mich so glücklich machen!!! :,)",2021-02-13T19:03:10Z,2.0,2.0,,,,,,
981,,Namensänderung gibt es schon lange und hat ja nicht wirklich was hiermit zu tun!,,,,Milky Way,Namensänderung gibt es schon lange und hat ja nicht wirklich was hiermit zu tun!,2021-12-12T23:48:05Z,2021-12-12T23:48:05Z,,
982,,"@Milky Way Hier geht es um Namen und Personenstandsänderung. Und auch nur für die (Vor)Namensänderung braucht man in Deutschland einen schwerwiegenden Grund. Zum Beispiel, wenn man trans* ist. Und als nicht binäre Person war es nicht möglich sich als trans* diagnostizieren zu lassen, durch die psychologischen Gutachten, die vom Gericht verlangt werden wenn man seinen Namen offiziell ändern möchte.",,,,Rain Blair,"@Milky Way Hier geht es um Namen und Personenstandsänderung. Und auch nur für die (Vor)Namensänderung braucht man in Deutschland einen schwerwiegenden Grund. Zum Beispiel, wenn man trans* ist. Und als nicht binäre Person war es nicht möglich sich als trans* diagnostizieren zu lassen, durch die psychologischen Gutachten, die vom Gericht verlangt werden wenn man seinen Namen offiziell ändern möchte.",2021-12-13T00:47:20Z,2021-12-13T00:47:20Z,,
983,Svea86,"Weltbewegendes Thema, habt wohl keine echten Probleme...teuer, kompliziert und unnütz das ganze, idiocracy lässt grüssen!🤪",2021-02-13T18:57:48Z,3.0,1.0,,,,,,
984,,"Hast du Vorschläge für mich? Dann gern an reporter-funk@<a href=""http://wdr.de/"">wdr.de</a>",,,,Timm Giesbers,"Hast du Vorschläge für mich? Dann gern an reporter-funk@<a href=""http://wdr.de/"">wdr.de</a>",2021-02-14T18:16:45Z,2021-02-14T18:16:45Z,,
985,Nele Winter,"Ganz doofe Frage wahrscheinlich, aber mit welchem Pronomen spricht Marcel-Jana sich denn an? &quot;er&quot; und &quot;sie&quot; verbindet man ja automatisch mit einem Geschlecht. Oder gibt es mittlerweile ein drittes Pronomen?",2021-02-13T18:44:14Z,1.0,2.0,,,,,,
986,,&quot;sier&quot; angeblich<br>im Englischen gibt es ja &quot;they/them&quot;,,,,Aiza Breathe,&quot;sier&quot; angeblich<br>im Englischen gibt es ja &quot;they/them&quot;,2021-02-14T11:43:22Z,2021-02-14T11:43:22Z,,
987,,Es gibt (noch) kein weiteres Pronomen. Am liebsten ganz ohne und ausschließlich mit dem Namen.,,,,reporter,Es gibt (noch) kein weiteres Pronomen. Am liebsten ganz ohne und ausschließlich mit dem Namen.,2021-02-14T12:01:15Z,2021-02-14T12:01:15Z,,
988,Kevin W.,"Ich bin grundsätzlich der Meinung, jeder soll sein/denken/glauben wie gewünscht. Aber der Sinn, einen aufwändigen Prozess bei bürokratischen Gängen in Kauf zu nehmen, nur wegen eines X in einem Dokument, welches keinen wirklich interessiert, wirkt für mich wie ein Schrei nach Beachtung. Sorry. Mir ist egal, was Menschen, die mich nicht kennen, über mich denken oder wie sie mich ansprechen. Wieso müssen nicht-binäre oder andere Menschen, die außerhalb der Norm sind, immer so sein, dass sie viel darauf geben, wie sie bei einem Amt oder wo auch immer benannt werden? &quot;Fuck drauf&quot;, nimms hin, dass die Gesellschaft es nicht jedem recht machen kann, und fertig. Solange in deinem Freundes- und Bekanntenkreis Akzeptanz herrscht, warum ist das nicht ausreichend? <br>Und sorry, wo ziehen wir bitte die Grenze? Wenn ich mich künftig als Waschmaschine oder Toaster identifiziere, soll ich dann zum Amt rennen und dafür plädieren, dass man mir drei geschwungene Linien, als Zeichen für den Toaster, in den Personalausweis druckt? Ich möchte das nicht denunzieren, was Marcel-Janas causa betrifft, frage mich aber nochmals: Wo ziehen wir die Grenze? Wir leben nunmal in einer Gesellschaft, die bürokratisch auf Standards/Normen aufbaut. Diese benötigt man. Wir können nicht für jeden Menschen, der sich andersartig fühlt, eine neue Kategorie einführen. Und der Umstand, dass es für Menschen wie Marcel-Jana schwierig ist, ist eben genau der Tatsache zuzuschreiben. Fazit: Sei, wie du möchtest. Aber such das Problem nicht bei der Gesellschaft, weil du dich dafür entschieden hast, außerhalb ihres Rahmens sein zu wollen. DIe Gesellschaft gibt nunmal den Rahmen vor. Danach kann ich mich richten, oder ich lasse es. Wenn ich es lasse, ist das legitim. Aber dann darf ich mich nicht hinstellen und die Gesellschaft für meine Entscheidung und die damit verbundenen Konsequenzen verantwortlich machen oder kritisieren.",2021-02-13T18:33:12Z,10.0,2.0,,,,,,
989,,👏,,,,ikekieh xx,👏,2021-07-15T09:38:37Z,2021-07-15T09:38:37Z,,
990,,100% richtig! Besser hätte man es nicht schreiben können!,,,,a. k. w.,100% richtig! Besser hätte man es nicht schreiben können!,2022-01-14T17:22:39Z,2022-01-14T17:22:39Z,,
991,Ein Google Nutzer,"Im zweiten Weltkrieg:14 Jährige sind Soldaten, dass heute 20 Jährige sagen können,dass sie sich nicht zwischen mann und frau entscheiden",2021-02-13T18:30:07Z,5.0,0.0,,,,,,
992,Sesamsamen,"Wo zieht man die Grenze? Könnte ich sagen &quot;ich fühle mich deutsch und norwegisch, also kommt Staatsangehörigkeit ausm perso &quot; oder &quot;ich fühle mich für immer jung, ich lasse mein Geburtsjahr jedes Jahr verändern&quot;....<br>Wir haben hier so viele Freiheiten, liebe Zeit, lasst man die Kirche im Dorf.",2021-02-13T18:23:56Z,14.0,0.0,,,,,,
993,Stella Nast,Es gibt wichtigeres auf diese Welt!,2021-02-13T18:10:37Z,17.0,0.0,,,,,,
994,sorstroker,"Dieses Verfahren habe ich selbst als binäre trans Person als starke Entmündigung empfunden. Bei mir lief zwar alles problemlos ab, bin danach aber mehr als 1000€ leichter gewesen. <br>Aber im Endeffekt ist man immer abhängig von den Gutachtern, ob die auch der Meinung sind, dass du ein Recht darauf hast so zu leben wie du bist. Und allein dieses Wissen zusammen mit der Wartezeit von ca. 1 Jahr bis zum Beschluss, ist einfach seelischer Terror. Ich war bei meinem Verfahren 17 Jahre alt, aber es gab keinen anderen Weg. Eigentlich finde ich, dass das Gesetz endlich geändert werden soll und dass die Personen die das durchlaufen und zahlen mussten rückwirkend in irgendeiner Form entschädigt werden.",2021-02-13T18:10:24Z,0.0,1.0,,,,,,
995,,"Das ist heftig, dass dich das so viel Zeit und Geld gekostet hat. Wir sind jedoch froh, dass das geklappt hat.",,,,reporter,"Das ist heftig, dass dich das so viel Zeit und Geld gekostet hat. Wir sind jedoch froh, dass das geklappt hat.",2021-02-14T12:01:58Z,2021-02-14T12:01:58Z,,
996,Nina Never,"Ich habe mal eine Verständnisfrage. Ich verstehe wenn sich jemand mit dem angeborenen Geschlecht (Sex) nicht identifizieren kann, was ich aber nicht verstehe ist das Empfinden genderfluid zu sein. <br>Das soll bitte niemanden kränken, falls ich da was falsch verstehe. <br>Also wenn wir in einer perfekten Welt leben würden, in der das Geschlecht (Sex und Gender) mit keinen Klischees und Rollenbilder verknüpft wäre, gäbe es dann noch das Empfinden genderfluid zu sein?",2021-02-13T18:07:23Z,2.0,2.0,,,,,,
997,,Du machst dir einfach viel zu sehr einen Kopf darum. Das kann man nicht verstehen und erfassen und morgen ist es vielleicht schon wieder ganz anders.,,,,Felix L.,Du machst dir einfach viel zu sehr einen Kopf darum. Das kann man nicht verstehen und erfassen und morgen ist es vielleicht schon wieder ganz anders.,2021-02-13T22:29:18Z,2021-02-13T22:29:18Z,,
998,,"@Felix L.  Wo ist das Problem, ich habe von diesem Thema (noch) keine Ahnung und wie soll ich es sonst verstehen lernen, wenn ich nicht frage? Es reicht halt eben nicht, wenn es nur Betroffene verstehen, wenn wir in einer Gesellschaft leben wollen, in der niemand diskriminiert wird.",,,,Nina Never,"@Felix L.  Wo ist das Problem, ich habe von diesem Thema (noch) keine Ahnung und wie soll ich es sonst verstehen lernen, wenn ich nicht frage? Es reicht halt eben nicht, wenn es nur Betroffene verstehen, wenn wir in einer Gesellschaft leben wollen, in der niemand diskriminiert wird.",2021-02-13T22:47:09Z,2021-02-13T22:47:09Z,,
999,I. Y.,"Non Binary ist ein Schrei nach Aufmerksamkeit. Kämpft gegen gängige Geschlechterrollen, aber hört auf euch non binary special snowflake human zu nennen. NIEMAND wacht morgens auf und denkt sich &quot;woah, heute bin ich mal wieder total weiblich/männlich&quot;. Man lebt so vor sich hin, kleidet sich wie man möchte, hat hobbies, die einem gefallen. Ja, man kann als Typ ein Kleid tragen und als Frau eine Hose, man kann sich für Autos oder eben Pferde interessieren..aber das macht einen nicht zum Mann oder Frau. Das ist eure PERSÖNLICHKEIT, das ist euer CHHARAKTER. Wenn euch nicht gefällt, was ihr zwischen den Beinen habt, dann seid Ihr trans. Non Binary ist vollkommener Unsinn.",2021-02-13T17:42:10Z,14.0,0.0,,,,,,
1000,Fanmanagment Wingl,Ich fühle mich im inneren wie ein 67 jähriger. Biologisch bin ich es zwar nicht aber von meinem Verhalten und meinen Ansichten bin ich ein 67jähriger<br>Ich möchte nun Rente beantragen!<br>Alles andere diskriminiert mich!,2021-02-13T17:10:01Z,11.0,0.0,,,,,,
1001,Nina B,"Ich würde mir eine Reportage über sexuellen Missbrauch durch Therapeuten und medizinisches Personal wünschen. Damit es endlich aufhört, dass dieses Thema totgeschwiegen wird!",2021-02-13T15:58:07Z,3.0,0.0,,,,,,
1002,Nina B,"@reporter: Könnt ihr auch eine Reportage darüber machen, wie es ist, wenn man sich in seinem Geschlecht zugehörig fühlt und heterosexuell ist, sich aber als Jugendlicher Zeit mit sexuellen Erfahrungen lassen möchte und nicht jeden Trend mitmacht und daher von Gleichaltrigen verstoßen wird?<br><br>Und die Eltern einen permanent damit bedrängen, dass man endlich Sex haben soll und einen zum Besuch eines Psychologen nötigen und dort erzählen, man wäre sexuell gestört?<br><br>So etwas gibt es nämlich auch! Die Betroffenen trauen sich damit nicht, sich jemandem anzuvertrauen, weil es so unglaubwürdig klingt.",2021-02-13T15:56:47Z,1.0,1.0,,,,,,
1003,,Vielen Dank für deinen Themenvorschlag. Wir werden diesen in der Redaktion besprechen.,,,,reporter,Vielen Dank für deinen Themenvorschlag. Wir werden diesen in der Redaktion besprechen.,2021-02-14T12:02:22Z,2021-02-14T12:02:22Z,,
1004,Epic Chriss,"Ich versteh diese ganze Geschlechts Einordnung nicht. Jemand ist männlich oder weiblich und wenn er im Körper nicht glücklich ist kann er’s ändern. Aber warum muss das Ganze immer einem Geschlecht zugeordnet werden. Es sind ja Charakterzüge, die eine Person ausmachen und nicht der Buchstabe bei Geschlecht im Pass. Ein Mann kann ein Mann sein aber „typisch“ weibliches Verhalten zeigen, dann ist das so aber warum muss es dafür einen Namen geben oder sogar ein Geschlecht. Es ist dann halt ein Mann der ist wie er ist. Das hat doch wenig mit Geschlecht zu tun sondern ist wie gesagt einfach er selbst. Geschlecht ist ja was deine Chromosomen sind, nicht deine sexuelle Orientierung oder dein Verhalten/Gedanken",2021-02-13T15:53:28Z,1.0,0.0,,,,,,
1005,detsir,"<a href=""https://www.youtube.com/watch?v=ZhsEhgwkAKc&amp;t=0m34s"">0:34</a> ^er^",2021-02-13T15:38:35Z,1.0,2.0,,,,,,
1006,,Das ist mit Marcel-Jana so abgesprochen und in Ordnung ;),,,,Timm Giesbers,Das ist mit Marcel-Jana so abgesprochen und in Ordnung ;),2021-02-14T18:17:26Z,2021-02-14T18:17:26Z,,
1007,,"@Timm Giesbers sorry hab es erst im nachhinein gemerkt da du es etwas später erst erwähnst, mein fehler",,,,detsir,"@Timm Giesbers sorry hab es erst im nachhinein gemerkt da du es etwas später erst erwähnst, mein fehler",2021-02-14T18:20:30Z,2021-02-14T18:20:30Z,,
1008,GroteskAntichrist,"Oh man, die nonbinaryphobe Scheiße läuft ja förmlich über in den Kommentaren. Was soll das eigentlich? Warum herrscht da so wenig Verständnis für? Warum wird diese Identität so belächelt oder als „schwierig“ angesehen?<br>Scheinbar, weil viele Leute nonbinary nicht checken, und es sich wohl auch nicht vorstellen können. Jetzt schreiben viele, sie hätten sich eine Erklärung dieser Identität in diesem Video gewünscht. Um ehrlich zu sein: es hat mich gefreut, dass es keine gab. Das hier ist kein Erklärvideo. Es wird ja auch nicht in jedem Video über lesbische Paare am Anfang erklärt, was lesbisch sein bedeutet. Und warum nicht? Weil dieses Wissen als bekannt vorausgesetzt wird. Genau das macht diese Reportage auch, und genau das finde ich so gut daran, denn: wenn etwas schon bekannt ist, ist es normaler, und auch akzeptierter. Ich bin froh, dass in diesem Bericht nicht mit dem „okay das ist weird aber das ist so und so“ -Blick an nonbinarys herangegangen wird. Nochmal: das ist hier kein Erklärvideo, wie wärs, wenn ihr euch selbst mal bildet? <br>Aber, um denen, denen es scheinbar an Vorstellungskraft mangelt, etwas weiter zu helfen, hier eine sehr bildliche Erklärung.<br>Stell dir vor, du bist ein Panda. Pandas sind sehr selten, vielleicht hast du sogar noch nie einen anderen Panda getroffen. Um dich herum leben nur Braunbären und Koalas. Du selbst wirst immer von den Braunbären und den Koalas ebenfalls als Braunbär bezeichnet. Das verwirrt dich und macht dich wütend, weil du bist ja kein Braunbär, du bist ein Panda. Aber wenn du das den beiden Gruppen sagst, verstehen sie dich nicht. Sie belächeln dich und sagen: „Was redest du da, es gibt nur Braunbären und Koalas, das sieht man doch. Und du bist ein Braunbär, egal, was du sagst.“ Du wehrst dich weiter, bis irgendwann einige sagen: „Hm, wenn du kein Braunbär bist, dann kannst du ja nur ein Koala sein. Weil außer Braunbären gibt es ja nur Koalas.“ Aber du schreist: „Nein verdammt, das ist genauso schlimm, denn ich gehöre zu keiner dieser Gruppen, ich bin ein Panda!!“ Aber keiner verstehts, weil Panda, die gibt es ja gar nicht, sieht man ja. <br>So in etwa ist nonbinary-Sein. Vielleicht hilfts dem ein oder anderen, diese Frustration nachzuvollziehen. <br>Nonbinarys müssen sich von allen Seiten echt genug anhören. Bitte sei keiner von denen, die schreien, dass es keine Pandas gibt. Danke.<br>(PS: fand den Beitrag sehr interessant, mein Partner hat auch einen männlich-weiblichen Doppelnamen und überlegt, sich diesen eintragen zu lassen. Ich selbst denke vllt auch drüber nach. Wir sind ein nonbinary couple und freuen uns über solcher Art Content :D)",2021-02-13T15:07:31Z,1.0,3.0,,,,,,
1009,,"mir selbst fällt es schwer mich in die situation hineinzuversetzen, deshalb recht toller erklärungsversuch. dazu habe ich ein paar fragen: <br>woher weißt du, dass du ein panda bist, wenn du noch nie einen anderen panda gesehen hast?<br>welches biologische geschlecht symbolisiert der panda? ist er dann eine mischform aus m &amp; w oder etwas ganz anderes?",,,,sodbaehr,"mir selbst fällt es schwer mich in die situation hineinzuversetzen, deshalb recht toller erklärungsversuch. dazu habe ich ein paar fragen: <br>woher weißt du, dass du ein panda bist, wenn du noch nie einen anderen panda gesehen hast?<br>welches biologische geschlecht symbolisiert der panda? ist er dann eine mischform aus m &amp; w oder etwas ganz anderes?",2021-02-13T17:47:49Z,2021-02-13T17:47:49Z,,
